userID;name;email;phone;loyaltyTier;preferences;pastBookings
USR1031;Benjamin Baker;benjamin.baker@email.com;+65 9999 9031;KRISFLYER_ELITE_SILVER;Aisle seat, Gluten-free meals;15
USR1032;Christina Gonzalez;christina.gonzalez@email.com;+65 9999 9032;PPS_CLUB;Window seat, Kosher meals;29
USR1033;Timothy Nelson;timothy.nelson@email.com;+65 9999 9033;BASIC;Aisle seat, Standard meals;6
USR1034;Samantha Carter;samantha.carter@email.com;+65 9999 9034;KRISFLYER_ELITE_GOLD;Window seat, Halal meals;18
USR1035;Adam Mitchell;adam.mitchell@email.com;+65 9999 9035;BASIC;Aisle seat, Vegan meals;12
USR1036;Elizabeth Perez;elizabeth.perez@email.com;+65 9999 9036;KRISFLYER_ELITE_SILVER;Window seat, Standard meals;13
USR1037;Nathan Roberts;nathan.roberts@email.com;+65 9999 9037;PPS_CLUB;Aisle seat, Vegetarian meals;31
USR1038;Heather Turner;heather.turner@email.com;+65 9999 9038;BASIC;Window seat, Gluten-free meals;4
USR1039;Andrew Phillips;andrew.phillips@email.com;+65 9999 9039;KRISFLYER_ELITE_GOLD;Aisle seat, Kosher meals;21
USR1040;Megan Campbell;megan.campbell@email.com;+65 9999 9040;BASIC;Window seat, Standard meals;8
USR1041;Edward Parker;edward.parker@email.com;+65 9999 9041;KRISFLYER_ELITE_SILVER;Aisle seat, Halal meals;16
USR1042;Julie Evans;julie.evans@email.com;+65 9999 9042;PPS_CLUB;Window seat, Vegan meals;27
USR1043;Scott Edwards;scott.edwards@email.com;+65 9999 9043;BASIC;Aisle seat, Diabetic meals;9
USR1044;Brittany Collins;brittany.collins@email.com;+65 9999 9044;KRISFLYER_ELITE_GOLD;Window seat, Standard meals;19
USR1045;Jordan Stewart;jordan.stewart@email.com;+65 9999 9045;BASIC;Aisle seat, Vegetarian meals;11
USR1046;Vanessa Sanchez;vanessa.sanchez@email.com;+65 9999 9046;KRISFLYER_ELITE_SILVER;Window seat, Gluten-free meals;14
USR1047;Eric Morris;eric.morris@email.com;+65 9999 9047;PPS_CLUB;Aisle seat, Kosher meals;32
USR1048;Tiffany Rogers;tiffany.rogers@email.com;+65 9999 9048;BASIC;Window seat, Standard meals;3
USR1049;Patrick Reed;patrick.reed@email.com;+65 9999 9049;KRISFLYER_ELITE_GOLD;Aisle seat, Halal meals;24
USR1050;Kelly Cook;kelly.cook@email.com;+65 9999 9050;BASIC;Window seat, Vegan meals;6
USR1051;Marcus Bailey;marcus.bailey@email.com;+65 9999 9051;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;15
USR1052;Diana Cooper;diana.cooper@email.com;+65 9999 9052;PPS_CLUB;Window seat, Vegetarian meals;28
USR1053;Victor Richardson;victor.richardson@email.com;+65 9999 9053;BASIC;Aisle seat, Gluten-free meals;7
USR1054;Natalie Cox;natalie.cox@email.com;+65 9999 9054;KRISFLYER_ELITE_GOLD;Window seat, Kosher meals;22
USR1055;Carlos Ward;carlos.ward@email.com;+65 9999 9055;BASIC;Aisle seat, Standard meals;4
USR1056;Monica Torres;monica.torres@email.com;+65 9999 9056;KRISFLYER_ELITE_SILVER;Window seat, Halal meals;17
USR1057;Derek Peterson;derek.peterson@email.com;+65 9999 9057;PPS_CLUB;Aisle seat, Vegan meals;33
USR1058;Jasmine Gray;jasmine.gray@email.com;+65 9999 9058;BASIC;Window seat, Diabetic meals;10
USR1059;Sean Ramirez;sean.ramirez@email.com;+65 9999 9059;KRISFLYER_ELITE_GOLD;Aisle seat, Standard meals;25
USR1060;Courtney James;courtney.james@email.com;+65 9999 9060;BASIC;Window seat, Vegetarian meals;8
USR1061;Ian Watson;ian.watson@email.com;+65 9999 9061;KRISFLYER_ELITE_SILVER;Aisle seat, Gluten-free meals;18
USR1062;Alicia Brooks;alicia.brooks@email.com;+65 9999 9062;PPS_CLUB;Window seat, Kosher meals;30
USR1063;Vincent Kelly;vincent.kelly@email.com;+65 9999 9063;BASIC;Aisle seat, Standard meals;5
USR1064;Denise Sanders;denise.sanders@email.com;+65 9999 9064;KRISFLYER_ELITE_GOLD;Window seat, Halal meals;23
USR1065;Philip Price;philip.price@email.com;+65 9999 9065;BASIC;Aisle seat, Vegan meals;12
USR1066;Teresa Bennett;teresa.bennett@email.com;+65 9999 9066;KRISFLYER_ELITE_SILVER;Window seat, Standard meals;16
USR1067;Arthur Murphy;arthur.murphy@email.com;+65 9999 9067;PPS_CLUB;Aisle seat, Vegetarian meals;29
USR1068;Cheryl Rivera;cheryl.rivera@email.com;+65 9999 9068;BASIC;Window seat, Gluten-free meals;9
USR1069;Harold Wood;harold.wood@email.com;+65 9999 9069;KRISFLYER_ELITE_GOLD;Aisle seat, Kosher meals;26
USR1070;Beverly Foster;beverly.foster@email.com;+65 9999 9070;BASIC;Window seat, Standard meals;3
USR1071;Gerald Hughes;gerald.hughes@email.com;+65 9999 9071;KRISFLYER_ELITE_SILVER;Aisle seat, Halal meals;19
USR1072;Deborah Flores;deborah.flores@email.com;+65 9999 9072;PPS_CLUB;Window seat, Vegan meals;34
USR1073;Roger Washington;roger.washington@email.com;+65 9999 9073;BASIC;Aisle seat, Diabetic meals;11
USR1074;Frances Butler;frances.butler@email.com;+65 9999 9074;KRISFLYER_ELITE_GOLD;Window seat, Standard meals;27
USR1075;Ralph Simmons;ralph.simmons@email.com;+65 9999 9075;BASIC;Aisle seat, Vegetarian meals;13
USR1076;Catherine Foster;catherine.foster@email.com;+65 9999 9076;KRISFLYER_ELITE_SILVER;Window seat, Gluten-free meals;20
USR1077;Lawrence Powell;lawrence.powell@email.com;+65 9999 9077;PPS_CLUB;Aisle seat, Kosher meals;35
USR1078;Gloria Jenkins;gloria.jenkins@email.com;+65 9999 9078;BASIC;Window seat, Standard meals;2
USR1079;Wayne Perry;wayne.perry@email.com;+65 9999 9079;KRISFLYER_ELITE_GOLD;Aisle seat, Halal meals;28
USR1080;Ruth Russell;ruth.russell@email.com;+65 9999 9080;BASIC;Window seat, Vegan meals;14
USR1081;Eugene Griffin;eugene.griffin@email.com;+65 9999 9081;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;21
USR1082;Evelyn Diaz;evelyn.diaz@email.com;+65 9999 9082;PPS_CLUB;Window seat, Vegetarian meals;36
USR1083;Arthur Hayes;arthur.hayes@email.com;+65 9999 9083;BASIC;Aisle seat, Gluten-free meals;1
USR1084;Joan Myers;joan.myers@email.com;+65 9999 9084;KRISFLYER_ELITE_GOLD;Window seat, Kosher meals;29
USR1085;Louis Ford;louis.ford@email.com;+65 9999 9085;BASIC;Aisle seat, Standard meals;15
USR1086;Marie Hamilton;marie.hamilton@email.com;+65 9999 9086;KRISFLYER_ELITE_SILVER;Window seat, Halal meals;22
USR1087;Roy Graham;roy.graham@email.com;+65 9999 9087;PPS_CLUB;Aisle seat, Vegan meals;37
USR1088;Janet Sullivan;janet.sullivan@email.com;+65 9999 9088;BASIC;Window seat, Diabetic meals;12
USR1089;Eugene Wallace;eugene.wallace@email.com;+65 9999 9089;KRISFLYER_ELITE_GOLD;Aisle seat, Standard meals;30
USR1090;Katherine Woods;katherine.woods@email.com;+65 9999 9090;BASIC;Window seat, Vegetarian meals;17
USR1091;Willie Barnes;willie.barnes@email.com;+65 9999 9091;KRISFLYER_ELITE_SILVER;Aisle seat, Gluten-free meals;23
USR1092;Carol Henderson;carol.henderson@email.com;+65 9999 9092;PPS_CLUB;Window seat, Kosher meals;38
USR1093;Jesse Coleman;jesse.coleman@email.com;+65 9999 9093;BASIC;Aisle seat, Standard meals;4
USR1094;Julie Jenkins;julie.jenkins@email.com;+65 9999 9094;KRISFLYER_ELITE_GOLD;Window seat, Halal meals;31
USR1095;Dennis Perry;dennis.perry@email.com;+65 9999 9095;BASIC;Aisle seat, Vegan meals;18
USR1096;Carolyn Powell;carolyn.powell@email.com;+65 9999 9096;KRISFLYER_ELITE_SILVER;Window seat, Standard meals;24
USR1097;Billy Long;billy.long@email.com;+65 9999 9097;PPS_CLUB;Aisle seat, Vegetarian meals;39
USR1098;Jacqueline Patterson;jacqueline.patterson@email.com;+65 9999 9098;BASIC;Window seat, Gluten-free meals;5
USR1099;Ralph Hughes;ralph.hughes@email.com;+65 9999 9099;KRISFLYER_ELITE_GOLD;Aisle seat, Kosher meals;32
USR1100;Norma Flores;norma.flores@email.com;+65 9999 9100;BASIC;Window seat, Standard meals;16
USR1101;Eugene Washington;eugene.washington@email.com;+65 9999 9101;KRISFLYER_ELITE_SILVER;Aisle seat, Halal meals;25
USR1102;Sandra Butler;sandra.butler@email.com;+65 9999 9102;PPS_CLUB;Window seat, Vegan meals;40
USR1103;Albert Simmons;albert.simmons@email.com;+65 9999 9103;BASIC;Aisle seat, Diabetic meals;13
USR1104;Donna Foster;donna.foster@email.com;+65 9999 9104;KRISFLYER_ELITE_GOLD;Window seat, Standard meals;33
USR1105;Frank Powell;frank.powell@email.com;+65 9999 9105;BASIC;Aisle seat, Vegetarian meals;19
USR1106;Irene Jenkins;irene.jenkins@email.com;+65 9999 9106;KRISFLYER_ELITE_SILVER;Window seat, Gluten-free meals;26
USR1107;Earl Perry;earl.perry@email.com;+65 9999 9107;PPS_CLUB;Aisle seat, Kosher meals;41
USR1108;Martha Russell;martha.russell@email.com;+65 9999 9108;BASIC;Window seat, Standard meals;6
USR1109;Joe Griffin;joe.griffin@email.com;+65 9999 9109;KRISFLYER_ELITE_GOLD;Aisle seat, Halal meals;34
USR1110;Ann Diaz;ann.diaz@email.com;+65 9999 9110;BASIC;Window seat, Vegan meals;20
USR1111;Carl Hayes;carl.hayes@email.com;+65 9999 9111;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;27
USR1112;Rose Myers;rose.myers@email.com;+65 9999 9112;PPS_CLUB;Window seat, Vegetarian meals;42
USR1113;Victor Ford;victor.ford@email.com;+65 9999 9113;BASIC;Aisle seat, Gluten-free meals;7
USR1114;Helen Hamilton;helen.hamilton@email.com;+65 9999 9114;KRISFLYER_ELITE_GOLD;Window seat, Kosher meals;35
USR1115;Russell Graham;russell.graham@email.com;+65 9999 9115;BASIC;Aisle seat, Standard meals;21
USR1116;Janice Sullivan;janice.sullivan@email.com;+65 9999 9116;KRISFLYER_ELITE_SILVER;Window seat, Halal meals;28
USR1117;Juan Wallace;juan.wallace@email.com;+65 9999 9117;PPS_CLUB;Aisle seat, Vegan meals;43
USR1118;Alice Woods;alice.woods@email.com;+65 9999 9118;BASIC;Window seat, Diabetic meals;14
USR1119;Howard Barnes;howard.barnes@email.com;+65 9999 9119;KRISFLYER_ELITE_GOLD;Aisle seat, Standard meals;36
USR1120;Betty Henderson;betty.henderson@email.com;+65 9999 9120;BASIC;Window seat, Vegetarian meals;22
